num,image_name,age,age_group,id
0,31_Milla_Jovovich_0005.jpg,34,30-39,1208
1,54_Phyllis_Logan_0014.jpg,64,50-69,285
2,25_Jenna_Coleman_0014.jpg,23,20-29,1786
3,22_Amanda_Seyfried_0007.jpg,24,20-29,1707
4,28_Rebecca_Hall_0009.jpg,27,20-29,1568
5,48_Julia_Ormond_0006.jpg,41,40-49,703
6,51_Jane_Lynch_0008.jpg,63,50-69,471
7,29_Julia_Stiles_0009.jpg,22,20-29,1519
8,33_Sara_Rue_0007.jpg,36,30-39,1446
9,27_Amanda_Seyfried_0006.jpg,21,20-29,1707
10,24_Rachel_Bilson_0009.jpg,26,20-29,1523
11,25_Mika_Boorem_0003.jpg,26,20-29,1821
12,42_Taraji_P._Henson_0004.jpg,46,40-49,990
13,61_Marilu_Henner_0011.jpg,63,50-69,93
14,42_Catherine_Zeta-Jones_0014.jpg,46,40-49,916
15,33_Robin_Tunney_0003.jpg,30,30-39,1075
16,34_Roselyn_Sanchez_0007.jpg,30,30-39,1118
17,59_Lesley-Anne_Down_0004.jpg,53,50-69,173
18,23_Agnes_Bruckner_0012.jpg,21,20-29,1734
19,45_Sandra_Bullock_0018.jpg,46,40-49,651
20,30_Spencer_Grammer_0006.jpg,36,30-39,1630
21,24_Mila_Kunis_0014.jpg,25,20-29,1603
22,43_Maura_Tierney_0014.jpg,44,40-49,742
23,20_Martha_MacIsaac_0016.jpg,26,20-29,1695
24,38_Uma_Thurman_0001.jpg,36,30-39,968
25,34_Brittany_Murphy_0013.jpg,33,30-39,1314
26,25_Freida_Pinto_0012.jpg,27,20-29,1677
27,25_Christina_Ricci_0008.jpg,27,20-29,1464
28,53_Jane_Seymour_0013.jpg,52,50-69,10
29,23_Emily_Blunt_0007.jpg,24,20-29,1608
30,28_Greta_Gerwig_0012.jpg,22,20-29,1640
31,24_Lena_Dunham_0013.jpg,26,20-29,1789
32,21_Talulah_Riley_0003.jpg,25,20-29,1750
33,28_Jessica_Alba_0005.jpg,26,20-29,1507
34,34_Natalie_Zea_0001.jpg,39,30-39,1222
35,62_Cristine_Rose_0002.jpg,59,50-69,41
36,21_Jessy_Schram_0001.jpg,22,20-29,1798
37,57_Mary_Steenburgen_0009.jpg,65,50-69,106
38,32_Danneel_Ackles_0004.jpg,37,30-39,1447
39,40_Sofia_Coppola_0006.jpg,41,40-49,1039
40,50_Giancarlo_Esposito_0015.jpg,58,50-69,351
41,51_Sela_Ward_0012.jpg,52,50-69,275
42,27_Anne_Hathaway_0003.jpg,20,20-29,1560
