num,image_name,age,age_group,id
0,55_Bill_Paxton_0012.jpg,62,50-69,212
1,34_Joel_Kinnaman_0017.jpg,30,30-39,1437
2,49_Billy_Campbell_0008.jpg,41,40-49,437
3,57_Ang_Lee_0004.jpg,61,50-69,178
4,53_Oliver_Platt_0013.jpg,60,50-69,495
5,47_Jeremy_Piven_0011.jpg,41,40-49,737
6,37_Eric_Dane_0001.jpg,36,30-39,1087
7,23_Rupert_Grint_0007.jpg,26,20-29,1865
8,44_Adam_Sandler_0016.jpg,46,40-49,754
9,26_Penn_Badgley_0009.jpg,27,20-29,1781
10,46_Michael_Imperioli_0009.jpg,45,40-49,795
11,55_Keith_David_0007.jpg,61,50-69,272
12,41_Norman_Reedus_0011.jpg,40,40-49,902
13,42_Sam_Rockwell_0007.jpg,44,40-49,863
14,24_David_Henrie_0012.jpg,23,20-29,1931
15,23_Ed_Westwick_0005.jpg,20,20-29,1808
16,42_John_Stamos_0004.jpg,45,40-49,619
17,31_Elijah_Wood_0004.jpg,36,30-39,1533
18,40_Seth_MacFarlane_0012.jpg,49,40-49,1116
19,46_Kevin_Sorbo_0003.jpg,49,40-49,388
20,56_James_Belushi_0007.jpg,61,50-69,175
21,25_Jake_Abel_0005.jpg,24,20-29,1836
22,30_Matthew_Gray_Gubler_0008.jpg,31,30-39,1479
23,20_David_Henrie_0009.jpg,21,20-29,1931
24,47_Patrick_Dempsey_0016.jpg,48,40-49,760
25,55_Jon_Lovitz_0003.jpg,56,50-69,349
26,52_Denis_Leary_0002.jpg,54,50-69,324
27,22_Jemima_West_0015.jpg,24,20-29,1837
28,25_Miles_Teller_0010.jpg,23,20-29,1829
29,51_Tom_Hanks_0012.jpg,58,50-69,252
30,45_Vincent_Cassel_0002.jpg,45,40-49,779
31,53_Brendan_Gleeson_0002.jpg,56,50-69,223
32,36_Michael_C._Hall_0008.jpg,36,30-39,1002
33,20_Ed_Westwick_0002.jpg,28,20-29,1808
34,34_Milo_Ventimiglia_0013.jpg,38,30-39,1328
35,48_David_Thewlis_0004.jpg,44,40-49,627
36,45_Rupert_Everett_0006.jpg,42,40-49,440
37,26_Clark_Duke_0008.jpg,26,20-29,1735
38,25_Hayden_Christensen_0014.jpg,25,20-29,1527
39,58_Butch_Patrick_0007.jpg,61,50-69,145
40,23_Portia_Doubleday_0009.jpg,24,20-29,1888
41,55_Kevin_Bacon_0011.jpg,51,50-69,359
42,51_Joel_Coen_0008.jpg,54,50-69,160
43,25_Rhys_Wakefield_0002.jpg,28,20-29,1872
44,23_Matt_Lanter_0006.jpg,27,20-29,1635
45,48_Daniel_Day-Lewis_0012.jpg,42,40-49,301
46,53_Mark_Harmon_0003.jpg,66,50-69,9
47,21_Nicholas_Hoult_0006.jpg,25,20-29,1906
48,24_Alex_D._Linz_0005.jpg,27,20-29,1937
49,43_Joseph_Fiennes_0010.jpg,47,40-49,993
50,42_Olivier_Martinez_0009.jpg,43,40-49,757
51,55_Paul_Reubens_0005.jpg,61,50-69,58
52,53_Roland_Emmerich_0004.jpg,68,50-69,225
53,31_Justin_Bartha_0010.jpg,35,30-39,1395
54,61_William_Katt_0006.jpg,65,50-69,15
55,41_Sean_Hayes_0007.jpg,49,40-49,976
56,50_Michael_J._Fox_0014.jpg,60,50-69,505
57,51_Jon_Lovitz_0008.jpg,51,50-69,349
58,51_Danny_Huston_0005.jpg,58,50-69,591
59,46_Tony_Goldwyn_0002.jpg,48,40-49,456
60,31_Ben_Barnes_0004.jpg,34,30-39,1548
61,25_Aziz_Ansari_0016.jpg,25,20-29,1641
62,35_Hugh_Dancy_0011.jpg,35,30-39,1216
63,28_Milo_Ventimiglia_0011.jpg,26,20-29,1328
64,42_Michael_Weatherly_0006.jpg,47,40-49,886
65,45_David_Morrissey_0006.jpg,47,40-49,660
66,56_Kevin_Costner_0001.jpg,61,50-69,203
67,59_Peter_Stormare_0004.jpg,58,50-69,107
68,55_Mel_Gibson_0012.jpg,63,50-69,253
69,54_Robert_Carradine_0001.jpg,54,50-69,182
70,56_Stephen_Lang_0007.jpg,52,50-69,66
71,23_Cam_Gigandet_0001.jpg,27,20-29,1595
72,47_Chris_Elliott_0013.jpg,43,40-49,480
73,26_Frankie_Muniz_0001.jpg,22,20-29,1716
74,57_Arsenio_Hall_0007.jpg,58,50-69,292
75,44_Michael_Weatherly_0009.jpg,45,40-49,886
76,50_Quentin_Tarantino_0007.jpg,60,50-69,605
77,25_Robert_Pattinson_0003.jpg,25,20-29,1768
78,35_Devon_Sawa_0002.jpg,39,30-39,1367
79,49_Richard_Curtis_0012.jpg,40,40-49,276
80,29_Jonathan_Bennett_0009.jpg,26,20-29,1547
81,27_Danneel_Ackles_0007.jpg,28,20-29,1447
82,25_Jessica_De_Gouw_0004.jpg,26,20-29,1889
83,27_Aidan_Turner_0014.jpg,22,20-29,1633
84,43_Dominic_Purcell_0009.jpg,43,40-49,988
85,43_Dougray_Scott_0013.jpg,49,40-49,723
86,40_Ray_Stevenson_0011.jpg,47,40-49,669
87,40_Jude_Law_0008.jpg,42,40-49,1062
88,45_Alan_Cumming_0004.jpg,49,40-49,730
89,29_Michael_Pitt_0007.jpg,27,20-29,1543
90,38_Henry_Thomas_0010.jpg,37,30-39,1041
91,53_Tony_Danza_0011.jpg,55,50-69,13
92,25_Tom_Felton_0010.jpg,28,20-29,1820
93,56_Vladimir_Kulich_0010.jpg,67,50-69,297
94,35_Victor_Webster_0001.jpg,30,30-39,1147
95,24_Frankie_Muniz_0005.jpg,27,20-29,1716
96,21_Max_Irons_0017.jpg,27,20-29,1711
97,49_Russell_Crowe_0015.jpg,48,40-49,658
98,50_Steven_Michael_Quezada_0008.jpg,56,50-69,624
99,36_Michael_Fassbender_0007.jpg,32,30-39,1302
100,36_Orlando_Bloom_0004.jpg,39,30-39,1312
101,23_Cody_Linley_0013.jpg,25,20-29,1942
102,57_Tom_Hanks_0009.jpg,61,50-69,252
103,28_Lee_Thompson_Young_0002.jpg,26,20-29,1674
104,60_Kurt_Russell_0003.jpg,61,50-69,3
105,27_Kunal_Nayyar_0004.jpg,23,20-29,1537
106,42_Blair_Underwood_0005.jpg,44,40-49,678
107,42_Ben_Stiller_0019.jpg,46,40-49,702
108,23_Cory_Monteith_0013.jpg,26,20-29,1559
109,37_LL_Cool_J_0012.jpg,39,30-39,899
110,51_Lou_Diamond_Phillips_0005.jpg,56,50-69,582
111,20_Dev_Patel_0016.jpg,24,20-29,1987
112,42_Robert_Rodriguez_0004.jpg,45,40-49,868
113,50_Ricky_Gervais_0012.jpg,55,50-69,526
114,36_Kevin_McKidd_0005.jpg,33,30-39,1128
115,21_Thomas_Dekker_0012.jpg,21,20-29,1842
116,38_Ryan_Phillippe_0006.jpg,30,30-39,1181
117,26_Bruno_Mars_0007.jpg,24,20-29,1795
118,22_Jesse_Plemons_0003.jpg,23,20-29,1863
119,21_Steven_Anthony_Lawrence_0001.jpg,24,20-29,1989
120,36_Ewan_McGregor_0013.jpg,39,30-39,1006
